price,flooring,water_availability_hours,available_units,towers,locality_rank,locality_rating,locality_review_count,environment_rating,commuting_rating,places_of_interest_rating,rera_id,electricity_availability_hours,construction,ownership,authority_approval,bed,bath,parking,area,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,project_age_months,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,overlooking,bath_bed_ratio,bed_area_ratio,bed_bath_ratio,bed_balcony_ratio,project_density,compactness_ratio,floor_ratio,remaining_floors,area_per_bedroom,area_per_bathroom,area_per_balcony,area_per_parking,balcony_to_bed_ratio,parking_to_bed_ratio,lift_to_total_floor_ratio,distance_to_center_km,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_within_2km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,assigned_amenities_score,amenities_count
₹1.43 cr,,24.0,70.0,1.0,11.0,4.1,574.0,4.0,4.2,4.2,p52000051860,no/rare powercut,under construction,,,2.0,2.0,1.0,742.0,,,2.0,,19.03956062,73.07439275,,14.0,pote group,pote pallacio,unfurnished,navi mumbai,kharghar,new property,under construction,,,organization,,1.0,0.0026954177897574125,1.0,,,,,,371.0,371.0,,742.0,,0.5,,5.763787711749381,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,0,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2,77.0,11
₹4.03 cr,vitrified,24.0,38.0,2.0,,4.7,28.0,4.7,4.7,4.6,p51800053514,no/rare powercut,under construction,,,3.0,3.0,,1101.0,,,3.0,,19.0611638862632,72.8948410560158,,7.0,mahavir group,arham mourya,semi-furnished,mumbai,chembur east,new property,under construction,,,organization,,1.0,0.0027247956403269754,1.0,,,,,,367.0,367.0,,,,,,13.364121421445695,,,0,,,0,0.95,0.7,2,,,0,0,0,0.95,0.95,0.7,0.7,2,126.0,18
₹1.50 cr,normal tiles/kotah stone,24.0,600.0,1.0,4.0,4.0,115.0,4.0,3.9,4.0,p51700047432,no/rare powercut,under construction,,,2.0,2.0,1.0,650.0,,,,,19.21408327,72.97826261,4.0,25.0,ashar group,ashar pulse,unfurnished,thane,majiwada,new property,under construction,,,organization,,1.0,0.003076923076923077,1.0,,150.0,162.5,,,325.0,325.0,,650.0,,0.5,,0.0806082858411979,1.92,0.2,3,0.0001,0.0001,1,1.8,1.8,1,,,0,0,0,0.0001,1.2400333333333333,0.0001,0.6667000000000001,5,174.0,25
₹4.50 cr,vitrified,24.0,35.0,2.0,102.0,4.0,292.0,3.8,3.9,4.3,p51800008658,no/rare powercut,under construction,,,4.0,4.0,1.0,1250.0,,,3.0,,19.0459181155422,72.8975231581492,,32.0,shubham group,shubham trident,unfurnished,mumbai,chembur,new property,under construction,,,organization,,1.0,0.0032,1.0,,,,,,312.5,312.5,,1250.0,,0.25,,12.369271988327576,2.25,1.3,3,,,0,5.033333333333333,2.7,0,7.26,1.5,1,0,2,1.5,4.010833333333333,1.3,1.75,6,77.0,12
₹1.76 cr,,24.0,146.0,1.0,126.0,4.1,381.0,4.1,4.1,4.2,p51800023625,no/rare powercut,under construction,,,2.0,2.0,1.0,620.0,,,2.0,,19.1154908,72.8726952,1.0,32.0,romell group,romell orbis,unfurnished,mumbai,andheri east,new property,under construction,,,realestateagent,,1.0,0.0032258064516129032,1.0,,146.0,620.0,,,310.0,310.0,,620.0,,0.5,,17.2788376563426,66.35,11.2,0,,,0,6.9399999999999995,1.9,1,3.7600000000000002,0.8,4,2,0,1.4333333333333333,19.620833333333334,0.7,3.65,7,76.0,11
₹9.06 cr,,24.0,1200.0,3.0,16.0,4.1,36.0,4.1,4.0,4.3,p51900015854,no/rare powercut,under construction,,,3.0,3.0,,1450.0,,67.0,,,18.9865617867147,72.8182867539311,4.0,96.0,piramal realty,piramal mahalaxmi,unfurnished,mumbai,mahalakshmi,new property,under construction,,,realestateagent,,1.0,0.0020689655172413794,1.0,,300.0,362.5,,,483.3333333333333,483.3333333333333,,,,,,1.8590641042481628,2.1666666666666665,0.7,1,1.8,0.7,4,0.8500000000000001,0.6,2,2.02,1.1,3,0,0,0.8500000000000001,1.7091666666666665,0.6,0.775,10,313.0,41
₹1.70 cr,vitrified,24.0,292.0,1.0,126.0,4.1,381.0,4.1,4.1,4.2,,no/rare powercut,new construction,freehold,municipal corporation of greater mumbai,1.0,2.0,1.0,459.0,,,2.0,,19.1154908,72.8726952,1.0,95.0,shree naman group,naman premier,unfurnished,mumbai,andheri east,new property,ready to move,none of these,north,realestateagent,pool,2.0,0.002178649237472767,0.5,,292.0,459.0,,,459.0,229.5,,459.0,,1.0,,17.2788376563426,66.35,11.2,0,,,0,6.9399999999999995,1.9,1,3.7600000000000002,0.8,4,2,0,1.4333333333333333,19.620833333333334,0.7,3.65,7,76.0,11
₹7.05 cr,vitrified,24.0,361.0,8.0,230.0,4.1,141.0,4.2,4.1,4.0,,no/rare powercut,new construction,freehold,,4.0,4.0,3.0,1393.0,42.0,61.0,5.0,1.0,19.2272619069866,72.8634397272398,27.0,86.0,oberoi realty ltd.,oberoi sky city,unfurnished,mumbai,borivali east,resale,ready to move,none of these,east,realestateagent,garden/park,1.0,0.002871500358937545,1.0,4.0,13.37037037037037,51.592592592592595,0.6885245901639344,19.0,348.25,348.25,1393.0,464.3333333333333,0.25,0.75,0.08196721311475409,28.942096321696763,4.866666666666666,1.4,1,3.0667000000000004,0.0001,2,4.0,2.0,1,7.0,5.7,0,2,0,1.633333333333333,4.113339999999999,0.0001,1.96002,6,271.0,40
₹2.65 cr,,,58.0,15.0,16.0,3.9,40.0,3.9,4.0,4.0,,,under construction,,,4.0,4.0,,1160.0,,,,2.0,19.218154,72.993664,32.0,101.0,piramal realty,piramal vaikunth,unfurnished,thane,balkum pada,new property,under construction,,,realestateagent,,1.0,0.0034482758620689655,1.0,2.0,1.8125,36.25,,,290.0,290.0,580.0,,0.5,,,1.7589453138548419,6.180000000000001,2.1,0,,,0,1.4500000000000002,1.3,4,1.5,1.5,1,0,0,1.4500000000000002,3.0433333333333334,1.3,1.6333333333333335,5,88.0,12
₹1.48 cr,,,,8.0,4.0,4.0,115.0,4.0,3.9,4.0,,,under construction,,,2.0,2.0,,582.0,,,,,19.215865938964,72.9914374146644,8.0,19.0,rustomjee,rustomjee la vie,unfurnished,thane,majiwada,new property,under construction,,,realestateagent,,1.0,0.003436426116838488,1.0,,,72.75,,,291.0,291.0,,,,,,1.4780681975121663,1.92,0.2,3,0.0001,0.0001,1,1.8,1.8,1,,,0,0,0,0.0001,1.2400333333333333,0.0001,0.6667000000000001,5,362.0,52
