id,nearest_mcp,amenities_mcp,features_mcp
cardid70938587,"institute for technology & management, national institute of fashion technology (nift), convent of jesus & mary high school & junior college, dav international school, the gokhale education society, pethpada metro station, raghunath metro station, sector 14, nearest- kharghar railway station, shilp chowk, little world mall, zudio, inox glomax mall kharghar, little world mall, seawoods grand central mall, reliance corporate park, cidco park sector 20, international infotech park, millennium business park","cafeteria/food court, jogging and strolling track, lift, security, maintenance staff, meditation area, kids play area, fire fighting equipment, internet/wi-fi connectivity","cross ventilation in all reisdences, premium vitrified flooring, separate wardrobe areas in all bedrooms, double height sundecks with french windows, premium granite countertops with ss sink in kitchen, premium sanitary ware and fittings in bathrooms, the largest 2 and  homes in kharghar, a lifestyle of unmatched space, comfort and convenience, location advantages: institute for technology & management, national institute of fashion technology (nift), convent of jesus & mary high school & junior college, reliance corporate park, cidco park sector 20, international infotech park, millennium business park, adhiraj capital city tower meraki in kharghar navi mumbai has faced significant delays in construction and possession timelines leading to dissatisfaction among buyers while the project boasts modern amenities and spacious apartments issues with construction progress and communication have been prominent"
cardid71736607," virar railway station, sahakari bhandar, viva swastik mall, hdil industrial estate, nirlon knowledge park, mindspace malad, riddhi vinayak, patankar park","club house, jogging and strolling track, swimming pool, lift, security, visitor parking, maintenance staff, bank & atm, banquet hall, gymnasium, rain water harvesting, water storage, multipurpose courts, meditation area, fingerprint access, premium branded fittings, mini cinema theatre, 3 tier security system, large open space, grand entrance lobby, multipurpose hall, library, fire fighting equipment, intercom facility, kids club, ro water system, vaastu compliant, activity deck4, kids play pool with water slides, cctv camera, high ceiling, pool with temperature control, skydeck, guest lobby in each floor","vitrified tiles, distemper paints, lifestyle amenities, swimming pool, garden, gym, rooftop jogging track, temple, ev charging station, location advantages: nsp railway station, rahul international school, bank, hospital, connect virar link rd"
cardid72167973,"sahayadri vidya mandir, dg khetan international school, kandivali railway station, nahur railway station, mangatram petrol pump bus stop, jangal mangal road, jangal mangal road, oberoi mall, magnet mall, infinity it park, mindspace malad, nesco it park, nirlon knowledge park, badwik hospital","club house, lift, security, gymnasium, indoor games room, multipurpose courts, mini cinema theatre, multipurpose hall, kids play area, cctv camera","ceiling height, vitrified flooring  tiles, high grade sanitary and electrical fittings, anodised aluminum windows, granite kitchen slab with ss sink, covered surface parking, semi furnished flats, world class amenities, location advantages: connectivity l.b.s. marg, nahur station, bhandup station, mulund, airoli, eastern express highway, mumbai domestic airport, shangrila metro station, mglr, hotspots nes high school, gs shetty international school, pawar public school, d mart, magnet mall, fortis hospital, bhavsar multispeciality hospital, yashadaa hospital"
cardid71715475,"ymt ayurvedic college, mindseed preschool balasaheb thackrey law college, al safa english medium school, kaleskar english medium school, kaleskar english medium school, taloja panchnand railway station, upcoming- taloja metro station, upcoming- taloja metro station, taloja panchnand railway station, navda phata, inox glomax mall kharghar, mahalaxmi mall, seawoods grand central mall, little world mall, mahalaxmi mall, reliance corporate park, reliance corporate park, international infotech park, international infotech park","club house, cafeteria/food court, outdoor tennis courts, power back up, lift, security, park, reserved parking, service/goods lift, maintenance staff, banquet hall, gymnasium, indoor games room, piped gas, rain water harvesting, water storage, indoor squash & badminton courts, meditation area, premium branded fittings, waste disposal, conference room, located in the heart of city, kids play area, library, fire fighting equipment, private terrace/garden, kids club, dth television facility, ro water system, vaastu compliant, internet/wi-fi connectivity, earth quake resistant, guest lobby in each floor, kids splash pool","the structure of the project is built using rcc frame structure., other bedrooms also have vitrified tile flooring., the living area features vitrified tile flooring., the master bedroom walls are finished with oil-bound distemper, and the flooring is done with vitrified tiles., master bedroom-walls oil bound distemper, 3 seater-sofa with centre table, ceiling lights, gypsum false ceiling, living room wallpaper, room designer lights, shoe rack, storage with in pre-laminated with suede finish, swing wardrobe without loft in laminate with suede finish, standard sink & chimney, 1. of luxury lifestyle complex, storeyed  homes, roman architectural elevation, overwhelming greenery, 1 clubhouses featuring lifestyle amenities, lush green open landscapes, possession - december 2025 (appox.), distance from ongoing metro station, near education institutes & hospitals, close to taloja kharghar bridge, excellent connectivity, ongoing metro station-, mumbai pune expressway -, proposed international airport -, taloja kharghar bridge-, iskon temple-, bharati vidyapith-, national institute of fashion technology-, a. c. patil college of engineering-, taloja railway station-, direct nmmt bus service from navi mumbai to taloja, st buses service availale till project, near to proposed airport and corporate park, golf course, iskon temple, education hub., near to cidco planned city kharghar, near education institutes &hospitals, many collages in kharghar like bharati vidyapeeth, a. c. patil college of engineering, metro lines proposed - kalyan - talojaroute., upcoming stations are apmc kalyan, ganesh nagar, pisawali gaon, golvali, dombivali midc, sa gaon, sonar pada, manpada, hadutane, kole gaon, nilje gaon, wadavali, bale, vaklan, turbhe, pisawe depot, pisawe, taloja"
cardid71696137,"gs shetty international school, national education society (nes) campus, sinhal classes ghatkopar, radhasai tutorials & coaching classes, allen career institute, ghatkopar railway station, kanjurmarg railway station, plantinum mall, platinum mall, r odeon mall, godrej and boyce industrial estate, mindspace airoli, lodha ithink techno campus, der deutsche parkz, kamdar nursing home, parakh hospital","club house, bar/lounge, power back up, swimming pool, lift, security, park, reserved parking, maintenance staff, gymnasium, rain water harvesting, water storage, waste disposal, private terrace/garden, intercom facility, dth television facility, ro water system, internet/wi-fi connectivity","rcc framed strategically constructed structure keeping in mind the best of architecture and specifications both from inside as well as outside., decorative double height entrance lobby, project located close to upcoming metro station, cctv camera for security and surveillance, ghatkopar station, eastern express highway, eastern freeway"
cardid72744229,"lokhandwala foundation school, thakur college of engineering, silica mulund, mumbai- best coaching class, st marys convent high school mulund west, malad railway station, kandivali railway station, mulund railway station, panch rasta, centrium mall, jawahar talkies, big bazaar, star market, nirmal lifestyles, infinity it park, nesco it park, nirlon knowledge park, ecstasy business park, business park","club house, jogging and strolling track, outdoor tennis courts, swimming pool, lift, security, park, reserved parking, visitor parking, banquet hall, gymnasium, indoor games room, aerobics room, rain water harvesting, indoor squash & badminton courts, multipurpose courts, meditation area, mini cinema theatre, health club with steam / jaccuzi, multipurpose hall, kids play area, library, badminton court, event space & amphitheatre, cycling & jogging track, intercom facility, library and business centre, infinity swimming pool, private jaccuzi, skyline view, curated garden, half basketball court, aesthetically designed landscape garden, provision for power backup, community hall, lawn with pathway","balcony: vitrified tiles, kitchen: vitrified tiles, living/dining: vitrified tiles, master bedroom: johnson/vermeer tiles, other bedroom: johnson/vermeer tiles, toilet: vitrified tiles, main door: decorative flush doors with both side laminate, internal door: decorative flush doors with both side laminate, kitchen: modular kitchen with dishwasher, windows: heavy section anodized aluminum sliding windows with tinted glass and granite sills, toilets: provision for geyser, interior: gypsum plaster with plastic paint, kitchen: glazed tiles upto ceiling, toilets: glazed tiles upto ceiling, development with blissful hill views, of 45 storeys each, over 40 lifestyle amenities, intelligently-designed apartments with zero space wastage, double-level eco-deck spread over, architecture by james law (hong kong), landscape by trop (bangkok), show apartment interiors by hba (singapore), eastern express highway , jvlr , dav international school , billabong high international school , fortis hospital , e.s.i.s hospital , r mall , eternity mall , the area boasts excellent connectivity being under  from mulund railway station and offers a peaceful community with strong neighborly ties residents benefit from nearby schools hospitals shopping malls and restaurants high rental costs limited amenities and no parking create visitor parking issues the densely populated area experiences significant traffic congestion and has poor water quality necessitating filtration for drinking"
cardid71424313,"gs shetty international school, national education society, bhandup and nahur railway stations, huma mall, r mall, dream the mall, raycon it park, lodha ithink techno campus, godrej one, bhandup industrial estate, shah children hospital","club house, jogging and strolling track, power back up, swimming pool, lift, security, park, reserved parking, visitor parking, banquet hall, gymnasium, piped gas, meditation area, grand entrance lobby, kids play area, private terrace/garden, intercom facility, flower gardens, vaastu compliant, kids play pool with water slides, earth quake resistant","living, dining & kitchen: vitrified tiles, bedrooms: vitrified tiles, balcony and utility: vitrified tiles, bathroom & toilet, anti-skid vitrified tiles, fittings from reputed maker, stainless steel sink, provision for water purifier, long-lasting acrylic paint for exteriors, three coats of fine white washing to the internal walls and ceiling, one coat of primre on doors, windows, grills, pipes etc., plaster of paris finish on all internal walls over plaster, rainwater harvesting to impart quality lifestyle, civic amenities, accessible to schools, hospitals, restaurants, banks, cineplex, location advantages fortis hospital:, school:, bhandup station:, dreams mall:, eastern expressway highway :, atul horizon in bhandup mumbai is a real estate project that offers well ventilated flats with an east west facing layout the project is praised for its facilities thoughtful layout and proximity to essential services there are concerns about the need for further development particularly in terms of road infrastructure"
cardid71990651,"pillai college of engineering, kendriya vidyalaya ongc, st. joseph?s high school, dav public school, pillai s institute of management, panvel railway junction, shree saibaba mandir, nr.panvel railway station., mansarovar railway station, panvel railway station, big bazaar, acwe mall (best buy), orion mall, panvel, orion mall, hiranandani business park, navi mumbai special economic zone, prachin healthcare multi-speciality hospital","club house, power back up, swimming pool, lift, gymnasium, indoor games room, multipurpose courts, event space & amphitheatre, cricket net practice, kids splash pool","multi-tier security and firefighting systems, cctv surveillance in designated common areas, public address system, intercom facility, dg power backup for select common areas, sprinkler system & mechanical ventilation in the basement, vitrified tiled flooring in the living/dining & bedrooms, main door & internal doors with laminate finish, aluminium sliding windows, video door phone (vdp) and intercom facility at the apartment entrance, provision for air-conditioning in living area & bedrooms, vitrified tiled flooring, granite platform with stainless steel sink, tiled dado above the platform, exhaust fan, kitchen equipped with png-cum-heat detector, piped gas connection, provision for water purifier, tiled flooring with dado up to door height, modular false ceiling, premium sanitary and cp fittings, hot &cold water mixer in the shower area, storage water heater in all bathrooms, spacious well-designed entrance lobbies, separate drop-o_ for each tower, elevators including auto rescue device (ard), parcel drop-o_ area, dg back up for elevator and designated common areas, rain water harvesting, stp (sewage treatment plant), owc (organic waste converter), solar photo-voltaic system, energy e_cient led lighting in designated common areas, access control system for parking area, medical consultation room, smartly planned  homes, spacious, well-designed lobbies, an elegantly designed eco-deck with modern amenities, a large landscaped garden with lush tropical planting on eco-deck and ground level, multi-tier security system, location advantages:- connectivity, old mumbai pune highway -, panvel junction railway station -, panvel bus depot -, lonavala -, pune - 1 hr, hospitals, gandhi hospital -, lifeline hospital -, mgm hospital -, educational institutions, dr pillai global academy -, mgm college of medical & engineering -, nift -, amity university -, retail, panvel market yard -, orion mall -, d-mart -, kalpataru park riviera in panvel navi mumbai has faced criticism for poor customer service unmet promises and issues with transparency and quality"
cardid72280591,"pillai college of engineering, kendriya vidyalaya ongc, st. joseph?s high school, dav public school, pillai s institute of management, panvel railway junction, shree saibaba mandir, nr.panvel railway station., mansarovar railway station, panvel railway station, big bazaar, acwe mall (best buy), orion mall, panvel, orion mall, hiranandani business park, navi mumbai special economic zone, prachin healthcare multi-speciality hospital","cafeteria/food court, lift, security, park, gymnasium, meditation area, kids play area, cctv camera, aesthetically designed landscape garden","all homes have wide sundecks, large format vitrified tiles in all rooms & anti-skid vitrified tiles in the balcony and utility room, heavy-duty aluminium single-glazed windows, main entrance door in veneer with melamine finish, laminate on all internal doors, plug points for acs, concealed internal copper wiring with the drain pipe, waterproof switches in all balconies, video door phone with intercom, quartz stone platform, modular kitchen with fully fitted base unit, hob, exhaust, geyser and water purifier., magnificently planned bedrooms ensure zero wastage of space and offer ultimate comfort, years of experience in creating award-winning townships, hiranandani fortune city is the first integrated township of panvel, first township in the region to deliver  &  apartments, hiranandani has unmatched construction quality our structures are earthquake resistant with  years of lifespan. a claim that is unique to hiranandani, state-of-the-art buildings with neo-classical architecture, our structures have a leakage-proof guarantee, our buildings have mandatory rainwater harvesting, hiranandani has been a pioneer in incorporating sewage treatment plants (stp), location advantages: vashi is  away, international schools & reputed universities -, major banks, healthcare facilities & restaurants are located close to the township"
cardid72561037,"somiaya vidyavihar, universal high school, ryan international school, lexicon global school dahisar east, various stations on the chembur-sant gadge maharaj monorail network, dahisar check naka, dahisar check naka, thakur mall, thakur mall, thakur mall, orchid ozone mall, star bazaar, godrej one, godrej and boyce industry estate","jogging and strolling track, power back up, security, reserved parking, gymnasium, water storage, multipurpose courts, meditation area, waste disposal, large clubhouse, grand entrance lobby, kids play area, private terrace/garden, intercom facility, earth quake resistant","mirror finished designer vitrified tile flooring, decorative entrance door with ultra modern lock, pop false ceiling, pop smooth finished wall with plastic paint, texture paint highlighted wall, powder coated aluminum sliding windows, inverter wiring, modular kitchen trolleys with kitchen cabinets, granite kitchen platform with stainless steel sink and service platform, tiles in kitchen, antiskid rustic tiles in floor, designer digital tiles up to door height, branded plumbing fittings, cp fittings of good quality, concealed copper wiring with modular switches, sufficient electrical point in all rooms, washing machine point and outlet provision, safely features like mcb and elcb, symmetrical design for everyday living, optimization of light, air, and space in every square foot, luxurious and stylish detailing throughout, high-quality fixtures enhancing the sense of luxury living, dahisar station  walk able, dahisar metro station  walk able, mumbai - gujarat highway  walk able, poorna pajna education centre ., thakur ramnarayan college of law ., life care multi speciality hospital ., movie time theatre ., jain derasar temple ., pragati multi speciality hospital ., hotel ravindra ., dmart ., bandhan bank ."
